sim_time,value_0,value_1
48.016,6.28,-6.28
48.032000000000004,6.28,-6.28
48.048,6.28,-6.28
48.064,6.28,-6.28
48.08,6.28,-6.28
48.096000000000004,6.28,-6.28
48.112,6.28,-6.28
48.128,6.28,-6.28
48.144,6.28,-6.28
48.160000000000004,6.28,-6.28
48.176,6.28,-6.28
48.192,6.28,-6.28
48.208,6.28,-6.28
48.224000000000004,6.28,-6.28
48.24,6.28,-6.28
48.256,6.28,-6.28
48.272,6.28,6.28
48.288000000000004,6.28,6.28
48.304,6.28,6.28
48.32,6.28,6.28
48.336,6.28,6.28
48.352000000000004,6.28,6.28
48.368,6.28,6.28
48.384,6.28,6.28
48.4,6.28,6.28
48.416000000000004,6.28,6.28
48.432,6.28,6.28
48.448,6.28,6.28
48.464,6.28,6.28
48.480000000000004,6.28,6.28
48.496,6.28,6.28
48.512,6.28,6.28
48.528,6.28,6.28
48.544000000000004,6.28,6.28
48.56,6.28,6.28
48.576,6.28,6.28
48.592,6.28,6.28
48.608000000000004,6.28,6.28
48.624,6.28,6.28
48.64,6.28,6.28
48.656,6.28,6.28
48.672000000000004,6.28,6.28
48.688,6.28,6.28
48.704,6.28,6.28
48.72,6.28,6.28
48.736000000000004,6.28,6.28
48.752,6.28,6.28
48.768,6.28,6.28
48.784,6.28,6.28
48.800000000000004,6.28,6.28
48.816,6.28,6.28
48.832,6.28,6.28
48.848,6.28,6.28
48.864000000000004,6.28,6.28
48.88,6.28,6.28
48.896,6.28,6.28
48.912,6.28,6.28
48.928000000000004,6.28,6.28
48.944,6.28,6.28
48.96,6.28,6.28
48.976,6.28,6.28
48.992000000000004,6.28,6.28
49.008,6.28,6.28
49.024,6.28,6.28
49.04,6.28,6.28
49.056000000000004,6.28,6.28
49.072,6.28,6.28
49.088,6.28,6.28
49.104,6.28,6.28
49.120000000000005,6.28,6.28
49.136,6.28,6.28
49.152,6.28,6.28
49.168,6.28,6.28
49.184,6.28,6.28
49.2,6.28,6.28
49.216,6.28,6.28
49.232,6.28,6.28
49.248,6.28,6.28
49.264,6.28,6.28
49.28,6.28,6.28
49.296,6.28,6.28
49.312,6.28,6.28
49.328,6.28,6.28
49.344,6.28,6.28
49.36,6.28,6.28
49.376,6.28,6.28
49.392,6.28,6.28
49.408,6.28,6.28
49.424,6.28,6.28
49.44,6.28,6.28
49.456,6.28,6.28
49.472,6.28,6.28
49.488,6.28,6.28
49.504,6.28,6.28
49.52,6.28,6.28
49.536,6.28,6.28
49.552,6.28,6.28
49.568,6.28,6.28
49.584,6.28,6.28
49.6,6.28,6.28
49.616,6.28,6.28
49.632,6.28,6.28
49.648,6.28,6.28
49.664,6.28,6.28
49.68,6.28,6.28
49.696,6.28,6.28
49.712,6.28,6.28
49.728,6.28,6.28
49.744,6.28,6.28
49.76,6.28,6.28
49.776,6.28,6.28
49.792,6.28,6.28
49.808,6.28,6.28
49.824,6.28,6.28
49.84,6.28,6.28
49.856,6.28,6.28
49.872,6.28,6.28
49.888,6.28,6.28
49.904,6.28,6.28
49.92,6.28,6.28
49.936,6.28,6.28
49.952,6.28,6.28
49.968,6.28,6.28
49.984,6.28,6.28
50.0,6.28,6.28
50.016,6.28,6.28
50.032000000000004,6.28,6.28
50.048,6.28,6.28
50.064,6.28,6.28
50.08,6.28,6.28
50.096000000000004,6.28,6.28
50.112,6.28,6.28
50.128,6.28,6.28
50.144,6.28,6.28
50.160000000000004,6.28,6.28
50.176,6.28,6.28
50.192,6.28,6.28
50.208,6.28,6.28
50.224000000000004,6.28,6.28
50.24,6.28,6.28
50.256,6.28,6.28
50.272,6.28,6.28
50.288000000000004,6.28,6.28
50.304,6.28,6.28
50.32,6.28,6.28
50.336,6.28,6.28
50.352000000000004,6.28,6.28
50.368,6.28,6.28
50.384,6.28,6.28
50.4,6.28,6.28
50.416000000000004,6.28,6.28
50.432,6.28,6.28
50.448,6.28,6.28
50.464,6.28,6.28
50.480000000000004,6.28,6.28
50.496,6.28,6.28
50.512,6.28,6.28
50.528,6.28,6.28
50.544000000000004,6.28,6.28
50.56,6.28,6.28
50.576,6.28,6.28
50.592,6.28,6.28
50.608000000000004,6.28,6.28
50.624,6.28,6.28
50.64,6.28,6.28
50.656,6.28,6.28
50.672000000000004,6.28,6.28
50.688,6.28,6.28
50.704,6.28,6.28
50.72,6.28,6.28
50.736000000000004,6.28,6.28
50.752,6.28,6.28
50.768,6.28,6.28
50.784,6.28,6.28
50.800000000000004,6.28,6.28
50.816,6.28,6.28
50.832,6.28,6.28
50.848,6.28,6.28
50.864000000000004,6.28,6.28
50.88,6.28,6.28
50.896,6.28,6.28
50.912,6.28,6.28
50.928000000000004,6.28,6.28
50.944,6.28,6.28
50.96,6.28,6.28
50.976,6.28,6.28
50.992000000000004,6.28,6.28
51.008,6.28,6.28
51.024,6.28,6.28
51.04,6.28,6.28
51.056000000000004,6.28,6.28
51.072,6.28,6.28
51.088,6.28,6.28
51.104,6.28,6.28
51.120000000000005,6.28,6.28
51.136,6.28,6.28
51.152,6.28,6.28
51.168,6.28,6.28
51.184000000000005,6.28,6.28
51.2,6.28,6.28
51.216,6.28,6.28
51.232,6.28,6.28
51.248,6.28,6.28
51.264,6.28,6.28
51.28,6.28,6.28
51.296,6.28,6.28
51.312,6.28,6.28
51.328,6.28,6.28
51.344,6.28,6.28
51.36,6.28,6.28
51.376,6.28,6.28
51.392,6.28,6.28
51.408,6.28,6.28
51.424,6.28,6.28
51.44,6.28,6.28
51.456,6.28,6.28
51.472,6.28,6.28
51.488,6.28,6.28
51.504,6.28,6.28
51.52,6.28,6.28
51.536,6.28,6.28
51.552,6.28,6.28
51.568,6.28,6.28
51.584,6.28,6.28
51.6,6.28,6.28
51.616,6.28,6.28
51.632,6.28,6.28
51.648,6.28,6.28
51.664,6.28,6.28
51.68,6.28,6.28
51.696,6.28,6.28
51.712,6.28,6.28
51.728,6.28,6.28
51.744,6.28,6.28
51.76,6.28,6.28
51.776,6.28,6.28
51.792,0.0,0.0
51.808,0.0,0.0
51.824,0.0,0.0
51.84,0.0,0.0
51.856,6.28,6.28
51.872,6.28,6.28
51.888,0.0,0.0
51.904,0.0,0.0
51.92,0.0,0.0
51.936,0.0,0.0
51.952,0.0,0.0
51.968,0.0,0.0
51.984,0.0,0.0
52.0,0.0,0.0
52.016,0.0,0.0
52.032000000000004,0.0,0.0
52.048,0.0,0.0
52.064,0.0,0.0
52.08,0.0,0.0
52.096000000000004,0.0,0.0
52.112,0.0,0.0
52.128,0.0,0.0
52.144,0.0,0.0
52.160000000000004,0.0,0.0
52.176,0.0,0.0
52.192,0.0,0.0
52.208,0.0,0.0
52.224000000000004,0.0,0.0
52.24,0.0,0.0
52.256,0.0,0.0
52.272,0.0,0.0
52.288000000000004,0.0,0.0
52.304,0.0,0.0
