sim_time,value_0,value_1,value_2
48.016,-0.49422565,-0.8693228,-0.00435492
48.032000000000004,-0.475935,-0.8794799,-0.0010180583
48.048,-0.45592168,-0.8900161,0.0026133552
48.064,-0.43417,-0.90080714,0.00655105
48.08,-0.41066903,-0.91172045,0.010805142
48.096000000000004,-0.3854137,-0.92261565,0.015383637
48.112,-0.35840598,-0.93334526,0.020291915
48.128,-0.3296563,-0.9437557,0.025532225
48.144,-0.29918444,-0.95368826,0.031103171
48.160000000000004,-0.27045608,-0.96203434,0.036652267
48.176,-0.24189009,-0.969404,0.04177468
48.192,-0.21306266,-0.97597957,0.045477677
48.208,-0.18398693,-0.981763,0.047855616
48.224000000000004,-0.15468653,-0.9867472,0.049010687
48.24,-0.12519313,-0.9909191,0.04905068
48.256,-0.09554493,-0.9942629,0.04808822
48.272,-0.0658426,-0.99675363,0.046334717
48.288000000000004,-0.037367214,-0.99839264,0.042613175
48.304,-0.010213746,-0.9992215,0.038106523
48.32,0.018076574,-0.9993084,0.03249445
48.336,0.04625842,-0.99856573,0.026956506
48.352000000000004,0.07426793,-0.9970078,0.021442898
48.368,0.10208967,-0.9946487,0.015864735
48.384,0.12984636,-0.9914836,0.010008573
48.4,0.15766503,-0.9874858,0.003667713
48.416000000000004,0.18301713,-0.9830997,-0.0044451933
48.432,0.20689233,-0.97827446,-0.013214867
48.448,0.22896364,-0.9731802,-0.022270078
48.464,0.24916922,-0.96794945,-0.03144087
48.480000000000004,0.26872656,-0.9625391,-0.036119163
48.496,0.28797102,-0.9568666,-0.038457893
48.512,0.3067858,-0.9510145,-0.0381292
48.528,0.3258732,-0.94464093,-0.038212497
48.544000000000004,0.34409785,-0.93818843,-0.03740479
48.56,0.3617551,-0.93157274,-0.036131717
48.576,0.3774739,-0.9253364,-0.035580248
48.592,0.39245403,-0.9191182,-0.034662813
48.608000000000004,0.4062587,-0.9131352,-0.03373404
48.624,0.41852722,-0.9076161,-0.032681126
48.64,0.4291237,-0.90269154,-0.03163577
48.656,0.43798766,-0.8984575,-0.030673154
48.672000000000004,0.44513035,-0.89496875,-0.029832263
48.688,0.45056742,-0.8922669,-0.029132482
48.704,0.45430613,-0.8903871,-0.028579114
48.72,0.45634857,-0.889355,-0.028172648
48.736000000000004,0.4566931,-0.88918656,-0.027905308
48.752,0.45661777,-0.8892333,-0.027646322
48.768,0.45652422,-0.8892904,-0.027354622
48.784,0.45642203,-0.88935274,-0.0270293
48.800000000000004,0.45631093,-0.8894206,-0.026670313
48.816,0.4561913,-0.88949364,-0.026277848
48.832,0.4560653,-0.8895708,-0.025851939
48.848,0.45593452,-0.889651,-0.025392562
48.864000000000004,0.4557995,-0.88973415,-0.024899643
48.88,0.45566148,-0.8898194,-0.02437305
48.896,0.45552173,-0.8899061,-0.023812547
48.912,0.45538172,-0.8899935,-0.023217779
48.928000000000004,0.45524278,-0.89008075,-0.022588277
48.944,0.45510784,-0.8901664,-0.021923592
48.96,0.45497876,-0.8902494,-0.021223072
48.976,0.454855,-0.89032984,-0.020485736
48.992000000000004,0.45473766,-0.89040726,-0.019710705
49.008,0.45462796,-0.89048094,-0.018897003
49.024,0.454527,-0.8905502,-0.018043581
49.04,0.45443663,-0.890614,-0.017149188
49.056000000000004,0.45435768,-0.8906718,-0.016212648
49.072,0.45429048,-0.89072335,-0.015232799
49.088,0.45423535,-0.8907684,-0.014208428
49.104,0.45419234,-0.8908068,-0.01313823
49.120000000000005,0.454162,-0.890838,-0.012020751
49.136,0.45414478,-0.89086175,-0.010854554
49.152,0.45414084,-0.8908778,-0.009638198
49.168,0.45415032,-0.8908858,-0.0083702365
49.184,0.45417312,-0.89088553,-0.0070492234
49.2,0.4542091,-0.89087707,-0.0056737214
49.216,0.45425773,-0.8908602,-0.0042423266
49.232,0.4543182,-0.8908352,-0.0027536743
49.248,0.4543898,-0.89080215,-0.0012063418
49.264,0.4544717,-0.8907611,0.00040111563
49.28,0.45456296,-0.8907122,0.002070087
49.296,0.45466253,-0.8906557,0.0038019267
49.312,0.4547694,-0.8905916,0.005597971
49.328,0.45488256,-0.8905202,0.007459529
49.344,0.45500082,-0.89044154,0.009387881
49.36,0.455123,-0.89035577,0.011384272
49.376,0.45524788,-0.89026314,0.013449915
49.392,0.4553742,-0.8901637,0.015585986
49.408,0.45550066,-0.8900576,0.017793627
