sim_time,value_0,value_1,value_2
0.016,4.8483405e-17,4.852677e-21,6.860116e-21
0.032,0.009110373,7.253006e-06,-9.538813e-07
0.048,0.011895461,-0.0008220519,-1.0072217e-06
0.064,0.015643302,-0.0010260374,-1.261404e-06
0.08,0.019474741,-0.0009688234,-1.4542788e-06
0.096,0.023329962,-0.00081987964,-1.6700011e-06
0.112,0.027205462,-0.00065428985,-1.9463228e-06
0.128,0.031101927,-0.0005023284,-2.289632e-06
0.14400000000000002,0.035020564,-0.00037366853,-2.6917774e-06
0.16,0.038962808,-0.0002690406,-3.1397274e-06
0.176,0.04293028,-0.00018572416,-3.6203564e-06
0.192,0.046924736,-0.00012004038,-4.1224525e-06
0.20800000000000002,0.05094806,-6.840754e-05,-4.637285e-06
0.224,0.05500225,-2.7725502e-05,-5.1585102e-06
0.24,0.059089363,4.5397974e-06,-5.6818103e-06
0.256,0.06321155,3.0395007e-05,-6.204474e-06
0.272,0.06737103,5.1399504e-05,-6.725006e-06
0.28800000000000003,0.07157005,6.875113e-05,-7.2427943e-06
0.304,0.07581095,8.336337e-05,-7.757845e-06
0.32,0.08009606,9.592973e-05,-8.270582e-06
0.336,0.084427804,0.00010697529,-8.78169e-06
0.352,0.08880861,0.00011689699,-9.292008e-06
0.368,0.09324097,0.00012599477,-9.80245e-06
0.384,0.0977274,0.00013449528,-1.0313953e-05
0.4,0.10227047,0.00014256994,-1.082744e-05
0.41600000000000004,0.10687275,0.0001503486,-1.1343797e-05
0.432,-0.058438916,0.005964999,0.005280627
0.448,-0.14857255,0.008241058,0.007781564
0.464,-0.23881611,0.009043145,0.008785789
0.48,-0.28751752,0.009053588,0.0021658882
0.496,-0.28335813,0.008847476,0.002938371
0.512,-0.2793278,0.008469111,0.0037327595
0.528,-0.27545783,0.0079794265,0.0044767875
0.544,-0.2717467,0.0074082874,0.0051555443
0.56,-0.26818874,0.006770878,0.005777894
0.5760000000000001,-0.26478118,0.006076057,0.006339229
0.592,-0.26152137,0.005330324,0.0068350406
0.608,-0.2584068,0.004539643,0.0072612357
0.624,-0.25543508,0.0037102208,0.0076142205
0.64,-0.252604,0.0028487882,0.007890977
0.656,-0.07615514,0.0004928132,0.011618476
0.672,-0.07408878,0.0005433007,0.0057950974
0.6880000000000001,-0.06401766,-0.00027177503,0.0058394857
0.704,-0.051644642,-0.0011069482,0.0061402232
0.72,-0.02936092,-0.0019317247,0.006969862
0.736,-0.00093607954,-0.0027052413,0.007713541
0.752,0.020872407,-0.0034284983,0.0077645504
0.768,0.036537256,-0.004167743,0.007851236
0.784,0.046820354,-0.004903712,0.0076529747
0.8,0.052588664,-0.0056228037,0.006689385
0.8160000000000001,0.05529039,-0.006332079,0.006055135
0.8320000000000001,0.05804609,-0.007028241,0.005422952
0.848,0.060841832,-0.0076652863,0.004739286
0.864,0.06367852,-0.008219878,0.0040110904
0.88,0.06655537,-0.0086803455,0.0032341455
0.896,0.069473386,-0.009041211,0.0024139972
0.912,0.07244026,-0.009299546,0.0015430644
0.928,0.075455606,-0.009454647,0.0006338728
0.9440000000000001,0.07851632,-0.009507261,-0.00028599607
0.96,0.081622265,-0.009458398,-0.0012064158
0.976,0.084773324,-0.009309769,-0.002117654
0.992,0.08796942,-0.009063801,-0.0030101591
1.008,0.09120576,-0.0087245265,-0.0038371673
1.024,0.094487816,-0.008295222,-0.0046148887
1.04,0.09782103,-0.0077805244,-0.005333415
1.056,0.10120604,-0.007185702,-0.005989267
1.072,0.10464222,-0.0065166634,-0.0065859654
1.088,0.10813094,-0.005780219,-0.0071183206
1.104,0.11167365,-0.0049838484,-0.0075814826
1.12,0.115271956,-0.0041356203,-0.007971182
1.1360000000000001,0.11892754,-0.0032441197,-0.008283801
1.1520000000000001,0.20132051,0.0020670465,-0.102656305
1.168,0.21457782,0.0037418727,-0.19022194
1.184,0.13850893,-0.0008458864,-0.105055586
1.2,0.1350572,-0.0021758918,-0.018026762
1.216,0.13853067,-0.0022624265,-0.008856757
1.232,0.1427568,-0.0017073725,-0.008516642
1.248,0.14701569,-0.00084570755,-0.008602935
1.264,0.15134865,0.00014521013,-0.008611141
1.28,0.15575856,0.0011760701,-0.008532434
1.296,0.16024835,0.0022016712,-0.00836784
1.312,0.1648211,0.0031979147,-0.0081194015
1.328,0.16947995,0.004150591,-0.00778998
1.344,0.17422816,0.005050028,-0.007383222
1.36,0.1790691,0.005888615,-0.0069035073
1.3760000000000001,0.14240398,0.0073989565,0.01955973
1.3920000000000001,0.102408856,0.008638318,0.019678928
1.408,0.059432764,0.009112435,0.01850597
1.424,0.012646489,0.009269411,0.017389743
1.44,-0.017445657,0.009085388,0.008108272
1.456,-0.028651582,0.008940967,-0.0021884337
1.472,-0.034228787,0.009095483,-0.0016611936
1.488,-0.036186554,0.009204346,-0.0008458055
1.504,-0.035359934,0.009249986,8.210197e-06
1.52,0.028670108,-0.004809403,-0.042173896
1.536,0.022995722,-0.010279477,-0.08556547
1.552,-0.07840083,0.0031013563,-0.013271505
1.568,-0.07436901,0.0067881756,-0.00012049315
1.584,-0.06941092,0.008299888,0.00093262637
1.6,-0.064494096,0.008873807,0.0018079312
1.616,-0.059616387,0.008952882,0.0026784253
1.6320000000000001,-0.054768696,0.008752193,0.0034980543
1.6480000000000001,-0.04995087,0.008378816,0.004269681
1.6640000000000001,-0.04516339,0.0078861,0.004982119
1.68,0.03627459,-0.0036265622,-0.08023597
1.696,0.0501325,-0.0098311715,-0.16216469
1.712,0.06431723,-0.014134519,-0.24625544
1.728,-0.013474707,-0.002363497,-0.14930747
1.744,-0.015329533,0.003650854,-0.057324536
1.76,-0.015908927,0.006537957,0.0040163584
1.776,-0.011090338,0.006902734,0.0057501663
1.792,0.07060373,-0.0036139213,-0.08163638
1.808,0.08467984,-0.009680587,-0.16482995
1.824,0.0990695,-0.014207107,-0.24985658
1.84,0.09043437,-0.022213843,-0.26044068
1.856,0.086803414,-0.020219352,-0.2791457
1.872,0.080588065,-0.019691626,-0.29007006
1.8880000000000001,0.072795205,-0.019708239,-0.2949253
1.9040000000000001,0.06403149,-0.02003865,-0.29546103
1.92,0.05487056,-0.021236323,-0.2934149
1.936,-0.07227093,0.004672417,-0.2556152
1.952,-0.14533049,3.0104471e-05,-0.24813601
1.968,-0.23506293,-0.0020432097,-0.24347198
1.984,-0.26237816,0.0016176455,-0.16889492
2.0,-0.26598516,0.0053474987,-0.07288976
2.016,-0.18254603,-0.006571748,-0.15950944
2.032,-0.16836107,-0.011916251,-0.24658719
2.048,-0.15391134,-0.01462381,-0.33652216
2.064,-0.13934956,-0.01601843,-0.42804977
2.08,-0.12466632,-0.016719447,-0.5207409
2.096,-0.10985416,-0.016834073,-0.61455286
2.112,-0.09490818,-0.016472694,-0.7094384
2.128,-0.079825826,-0.015745182,-0.8053503
